##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	3_2B_control_S3_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6873509
Sequences flagged as poor quality	0
Sequence length	101
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.333997234891232	32.0	32.0	32.0	32.0	32.0
2	31.34864564809619	32.0	32.0	32.0	32.0	32.0
3	35.06620897710325	37.0	32.0	37.0	32.0	37.0
4	36.007718619412586	37.0	37.0	37.0	32.0	37.0
5	36.04202293180965	37.0	37.0	37.0	37.0	37.0
6	39.546081630212456	41.0	41.0	41.0	37.0	41.0
7	39.5977578555582	41.0	41.0	41.0	37.0	41.0
8	39.50282032074156	41.0	41.0	41.0	37.0	41.0
9	39.937379582975744	41.0	41.0	41.0	37.0	41.0
10-11	40.0878960804445	41.0	41.0	41.0	37.0	41.0
12-13	40.085786823004085	41.0	41.0	41.0	37.0	41.0
14-15	40.065247095770154	41.0	41.0	41.0	37.0	41.0
16-17	40.027904669943695	41.0	41.0	41.0	37.0	41.0
18-19	40.021751699168505	41.0	41.0	41.0	37.0	41.0
20-21	40.00775128104146	41.0	41.0	41.0	37.0	41.0
22-23	40.02253259579641	41.0	41.0	41.0	37.0	41.0
24-25	40.01262339221495	41.0	41.0	41.0	37.0	41.0
26-27	39.943217212634764	41.0	41.0	41.0	37.0	41.0
28-29	39.91235037300453	41.0	41.0	41.0	37.0	41.0
30-31	39.8806197824139	41.0	41.0	41.0	37.0	41.0
32-33	39.88311603287346	41.0	41.0	41.0	37.0	41.0
34-35	39.922288673805475	41.0	41.0	41.0	37.0	41.0
36-37	39.91565567165185	41.0	41.0	41.0	37.0	41.0
38-39	39.89236734832238	41.0	41.0	41.0	37.0	41.0
40-41	39.880419157085555	41.0	41.0	41.0	37.0	41.0
42-43	39.854663025828586	41.0	41.0	41.0	37.0	41.0
44-45	39.80193711828994	41.0	41.0	41.0	37.0	41.0
46-47	39.802882268721845	41.0	41.0	41.0	37.0	41.0
48-49	39.80211592070367	41.0	41.0	41.0	37.0	41.0
50-51	39.79540319216866	41.0	41.0	41.0	37.0	41.0
52-53	39.74608747875357	41.0	41.0	41.0	37.0	41.0
54-55	39.74889383282978	41.0	41.0	41.0	37.0	41.0
56-57	39.7226647262701	41.0	41.0	41.0	37.0	41.0
58-59	39.70712157356599	41.0	41.0	41.0	37.0	41.0
60-61	39.6814454596626	41.0	41.0	41.0	37.0	41.0
62-63	39.641704913749294	41.0	41.0	41.0	37.0	41.0
64-65	39.629122475870766	41.0	41.0	41.0	37.0	41.0
66-67	39.60334655850454	41.0	41.0	41.0	37.0	41.0
68-69	39.58077788215597	41.0	41.0	41.0	37.0	41.0
70-71	39.48851707330273	41.0	41.0	41.0	37.0	41.0
72-73	39.49108257514466	41.0	41.0	41.0	37.0	41.0
74-75	39.45371628959822	41.0	41.0	41.0	37.0	41.0
76-77	39.076641785149334	41.0	39.0	41.0	34.5	41.0
78-79	39.17541840710473	41.0	41.0	41.0	37.0	41.0
80-81	39.33028253836578	41.0	41.0	41.0	37.0	41.0
82-83	39.372683297570426	41.0	41.0	41.0	37.0	41.0
84-85	39.33571899011116	41.0	41.0	41.0	37.0	41.0
86-87	39.297254139043105	41.0	41.0	41.0	37.0	41.0
88-89	39.15153751890046	41.0	41.0	41.0	37.0	41.0
90-91	39.16658914682442	41.0	41.0	41.0	37.0	41.0
92-93	39.09824625238724	41.0	41.0	41.0	37.0	41.0
94-95	39.0134386963049	41.0	41.0	41.0	34.5	41.0
96-97	38.994578533322645	41.0	41.0	41.0	34.5	41.0
98-99	38.790781826284075	41.0	41.0	41.0	32.0	41.0
100-101	38.3112459734904	41.0	39.0	41.0	29.5	41.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.1285198025750347
1101	2	0.016080480969858257
1101	3	-0.31757403849675114
1101	4	-0.08942096638752872
1101	5	0.17033995851470962
1101	6	-0.0036602797907789864
1101	7	-0.059973974535587615
1101	8	-0.09026204713784125
1101	9	0.06681530938208624
1101	10-11	0.08232425143211941
1101	12-13	0.05908148604917329
1101	14-15	0.03264088448744218
1101	16-17	-0.02354756792643542
1101	18-19	0.042098759006741204
1101	20-21	0.08702698404862019
1101	22-23	0.07394084440021942
1101	24-25	0.0901363956649206
1101	26-27	0.08577797781053675
1101	28-29	0.08298509859837822
1101	30-31	0.03902906563034492
1101	32-33	0.11963595505994107
1101	34-35	0.10652842136681073
1101	36-37	0.021728984159068432
1101	38-39	0.10057957177414067
1101	40-41	0.02497268327690705
1101	42-43	0.03499016425345758
1101	44-45	0.0911517193386473
1101	46-47	0.026570295148914624
1101	48-49	0.026354458477698017
1101	50-51	0.07481743730568269
1101	52-53	0.12182498712707712
1101	54-55	0.15530879519688767
1101	56-57	0.12478623919312071
1101	58-59	0.09066435155008179
1101	60-61	0.11424926268189495
1101	62-63	0.15650014995475203
1101	64-65	0.12384927212613661
1101	66-67	0.10355797722147742
1101	68-69	0.13819405700678544
1101	70-71	0.15620518853540233
1101	72-73	0.14586660339951862
1101	74-75	0.09030927222919871
1101	76-77	0.1659726787733149
1101	78-79	0.25424220264500264
1101	80-81	0.2375590926294393
1101	82-83	0.18238290624630338
1101	84-85	0.2577955116037245
1101	86-87	0.12838583586410834
1101	88-89	0.3041091104178193
1101	90-91	0.3045485908360135
1101	92-93	0.43505743670348096
1101	94-95	0.4234151001645685
1101	96-97	0.3123229259773481
1101	98-99	0.5185163307347125
1101	100-101	0.3134698571065684
1102	1	-0.1550117310236523
1102	2	-0.05932292231556602
1102	3	-0.3555606530239288
1102	4	-0.04633151784788225
1102	5	0.030800588510267346
1102	6	0.08700794569770665
1102	7	-0.11964160857623796
1102	8	-0.1822454604560093
1102	9	-0.009198903556722371
1102	10-11	0.03480076868752491
1102	12-13	0.0023308289250110192
1102	14-15	-0.013757379582266083
1102	16-17	0.03956535389474425
1102	18-19	0.04088462844961782
1102	20-21	0.10581101479921529
1102	22-23	0.07251698800514106
1102	24-25	0.07903224107273132
1102	26-27	0.07644044649292425
1102	28-29	0.09692321391319325
1102	30-31	0.1344346877642124
1102	32-33	0.06887986502491117
1102	34-35	0.08620565680147507
1102	36-37	0.0335503294974302
1102	38-39	0.05125375122707254
1102	40-41	0.07707768774687196
1102	42-43	0.09478471217684614
1102	44-45	0.0829609334471968
1102	46-47	0.04610404505098131
1102	48-49	0.06097919627955406
1102	50-51	0.07330505027381662
1102	52-53	0.084037709499718
1102	54-55	0.10146945077129033
1102	56-57	0.11066429549821777
1102	58-59	0.09675647662330533
1102	60-61	0.08765840104242528
1102	62-63	0.10207638350636472
1102	64-65	0.0943795853456777
1102	66-67	0.07608292571863018
1102	68-69	0.0526280528148817
1102	70-71	0.18012925196037344
1102	72-73	0.16279413226381223
1102	74-75	0.235735126241444
1102	76-77	0.2890415923444536
1102	78-79	0.20124647267558515
1102	80-81	0.22209900468320143
1102	82-83	0.27992354367396644
1102	84-85	0.21481479970902484
1102	86-87	0.23722977416105806
1102	88-89	0.3556029103730509
1102	90-91	0.3717780511087554
1102	92-93	0.41117317257892694
1102	94-95	0.41457798071457574
1102	96-97	0.32892152172513534
1102	98-99	0.5907678554509559
1102	100-101	0.4500142855026965
1103	1	-0.17153836393901045
1103	2	0.003014782818905104
1103	3	-0.13590659428684404
1103	4	0.031216694317464544
1103	5	0.1322534259126371
1103	6	0.0885551764602539
1103	7	0.08267775653958154
1103	8	-0.07705591682551471
1103	9	-0.009109934360814975
1103	10-11	0.05766009994881216
1103	12-13	0.06953040494781249
1103	14-15	0.059549837663411154
1103	16-17	0.054986725983603435
1103	18-19	0.110181189604738
1103	20-21	0.1559703556724088
